,year,quarter,GDP
0,2003,1,41976.17157290218
1,2003,2,32605.857786672015
2,2003,3,34691.24930077714
3,2003,4,25040.9552374943
4,2004,1,45420.16564176405
5,2004,2,36674.85838552906
6,2004,3,38432.20629228254
7,2004,4,28694.000744573932
8,2005,1,49002.284593096294
9,2005,2,40075.24476930061
10,2005,3,42029.66957844919
11,2005,4,33853.09325335185
12,2006,1,53726.95413694491
13,2006,2,45784.28441390513
14,2006,3,47402.52690271252
15,2006,4,40823.73586269043
16,2007,1,61036.97571538319
17,2007,2,54653.287231646864
18,2007,3,57206.62975875954
19,2007,4,50838.83269436377
20,2008,1,67515.18035993451
21,2008,2,61191.55443140176
22,2008,3,61779.886839370636
23,2008,4,57399.3133552855
24,2009,1,73818.63246249178
25,2009,2,70034.94681320345
26,2009,3,72727.43079016956
27,2009,4,68308.51404809309
28,2010,1,81322.28262724383
29,2010,2,77307.35261781598
30,2010,3,81535.92737745428
31,2010,4,77669.878166622
32,2011,1,89217.63006572257
33,2011,2,86688.29292606421
34,2011,3,91207.39634102912
35,2011,4,89301.13971446337
36,2012,1,98646.82663864769
37,2012,2,97084.43217765582
38,2012,3,103004.48390430292
39,2012,4,102452.62863101115
40,2013,1,109121.32347179393
41,2013,2,109158.72221398161
42,2013,3,115597.73861893646
43,2013,4,116596.6626626501
44,2014,1,119309.51374067324
45,2014,2,120234.0322967178
46,2014,3,126998.38710065828
47,2014,4,132034.28236034734
48,2015,1,131702.04824429465
49,2015,2,135014.57125772198
50,2015,3,143066.89157277258
51,2015,4,153733.25990497018
52,2016,1,146776.2187809741
53,2016,2,152445.55195944774
54,2016,3,157347.0082797546
55,2016,4,160765.9058302666
56,2017,1,154892.23359168612
57,2017,2,158713.56726870057
58,2017,3,165594.4260295303
59,2017,4,168070.14911959769
60,2018,1,163372.2479012636
61,2018,2,167149.01641737774
62,2018,3,174191.50578358426
63,2018,4,186191.9955870118
64,2019,1,177309.60576999994
65,2019,2,182644.38172962377
66,2019,3,190252.29133586492
67,2019,4,195198.5304102187
68,2020,1,169272.67377258636
69,2020,2,194059.80622945778
70,2020,3,204679.91248791903
71,2020,4,212481.33256407094
72,2021,1,198523.31250111043
73,2021,2,204088.92072528577
74,2021,3,205304.0076286277
75,2021,4,204859.5814519184
76,2022,1,198126.28878677232
77,2022,2,197884.97235469864
78,2022,3,212263.66644067928
79,2022,4,220999.4507646344
80,2023,1,211490.3341065312
81,2023,2,218085.2504756081
